country_code,state,icao,latitude,longitude
US,Alabama,KAIV,33.1065,-88.1978
US,Alabama,KALX,32.9147,-85.963
US,Alabama,KANB,33.5882,-85.8581
US,Alabama,KASN,33.5699,-86.0509
US,Alabama,KAUO,32.6151,-85.434
US,Alabama,KBFM,30.6268,-88.0681
US,Alabama,KBHM,33.5629,-86.7535
US,Alabama,KDCU,34.6527,-86.9454
US,Alabama,KDHN,31.3213,-85.4496
US,Alabama,KEDN,31.2997,-85.8999
US,Alabama,KEUF,31.9513,-85.1289
US,Alabama,KGAD,33.9726,-86.089
US,Alabama,KJKA,30.2905,-87.6718
US,Alabama,KHAB,34.1176,-87.9982
US,Alabama,KHSV,34.6372,-86.7751
US,Alabama,KHUA,34.6787,-86.6848
US,Alabama,KMGM,32.3006,-86.394
US,Alabama,KMOB,30.6912,-88.2428
US,Alabama,KMSL,34.7453,-87.6102
US,Alabama,KMVC,31.458,-87.351
US,Alabama,KMXF,32.3829,-86.3658
US,Alabama,KNBJ,30.3891,-87.6353
US,Alabama,KOZR,31.2757,-85.7134
US,Alabama,KPLR,33.5588,-86.2491
US,Alabama,KSEM,32.3439,-86.9878
US,Alabama,KTCL,33.2206,-87.6114
US,Alabama,KTOI,31.8604,-86.0121
US,Alaska,PAFM,67.1063,-157.857
US,Alaska,PADK,51.878,-176.646
US,Alaska,PADQ,57.75,-152.494
US,Alaska,KPHH,33.4517,-79.5262
US,Alaska,PFAL,66.5518,-152.622
US,Alaska,PAGN,57.5036,-134.585
US,Alaska,PAWI,70.638,-159.995
US,Alaska,PAAK,52.2203,-174.206
US,Alaska,PFAK,60.9029,-161.231
US,Alaska,PAKH,56.9387,-154.183
US,Alaska,PAKN,58.6768,-156.649
US,Alaska,PAKP,68.1336,-151.743
US,Alaska,PANC,61.1744,-149.996
US,Alaska,PANI,61.5816,-159.543
US,Alaska,PANT,55.0424,-131.572
US,Alaska,PANV,62.6467,-160.191
US,Alaska,PARC,68.1147,-145.579
US,Alaska,PATQ,70.4673,-157.436
US,Alaska,PAAT,52.8284,173.18
US,Alaska,PABE,60.7798,-161.838
US,Alaska,PAGQ,61.5361,-149.814
US,Alaska,PABI,63.9945,-145.722
US,Alaska,PABL,65.9816,-161.149
US,Alaska,PABM,59.3612,-155.259
US,Alaska,PABR,71.2854,-156.766
US,Alaska,PABA,70.134,-143.582
US,Alaska,PABT,66.9139,-151.529
US,Alaska,PABG,61.1722,-151.044
US,Alaska,PACD,55.2061,-162.725
US,Alaska,PACV,60.4918,-145.478
US,Alaska,PACE,65.5738,-144.783
US,Alaska,PACI,66.645,-143.74
US,Alaska,PFCL,58.8337,-158.529
US,Alaska,PACX,67.2522,-150.204
US,Alaska,PACK,60.1492,-164.286
US,Alaska,PACY,60.081,-142.495
US,Alaska,PACZ,61.7803,-166.039
US,Alaska,PADL,59.0447,-158.505
US,Alaska,PADE,66.0696,-162.766
US,Alaska,PADU,53.9001,-166.544
US,Alaska,PAEG,64.7764,-141.151
US,Alaska,PAED,61.251,-149.807
US,Alaska,PAEE,60.2137,-162.044
US,Alaska,PAII,58.1855,-157.375
US,Alaska,PAEH,58.6464,-162.063
US,Alaska,PAEI,64.6657,-147.102
US,Alaska,PFEL,64.6147,-162.272
US,Alaska,PAEL,58.1952,-136.347
US,Alaska,PAEM,62.7861,-164.491
US,Alaska,PAEN,60.5731,-151.245
US,Alaska,PANN,64.5473,-149.074
US,Alaska,PAFA,64.8151,-147.856
US,Alaska,PAFB,64.8375,-147.614
US,Alaska,PANR,58.2544,-134.898
US,Alaska,PAFR,61.2664,-149.653
US,Alaska,PAFW,62.5093,-153.892
US,Alaska,PFYU,66.5715,-145.25
US,Alaska,PAGA,64.7362,-156.937
US,Alaska,PAGM,63.7668,-171.733
US,Alaska,PAGB,68.4797,-149.49
US,Alaska,PAGK,62.1549,-145.457
US,Alaska,PAGL,64.5505,-163.007
US,Alaska,PAGZ,65.4021,-161.281
US,Alaska,PAGS,58.4253,-135.707
US,Alaska,PAHC,62.1883,-159.775
US,Alaska,PAOH,58.0961,-135.41
US,Alaska,PAHN,59.2438,-135.524
US,Alaska,PAHO,59.6456,-151.477
US,Alaska,PAHP,61.5239,-166.147
US,Alaska,PAHL,65.6979,-156.351
US,Alaska,PAHU,66.0411,-154.263
US,Alaska,PAHY,55.2063,-132.828
US,Alaska,PAIK,66.976,-160.437
US,Alaska,PAIG,59.324,-155.902
US,Alaska,PAKO,52.9416,-168.849
US,Alaska,PAIL,59.7544,-154.911
US,Alaska,PACR,65.8305,-144.076
US,Alaska,PAJN,58.355,-134.576
US,Alaska,PAFE,56.973,-133.946
US,Alaska,PAKV,64.3191,-158.741
US,Alaska,PAKD,57.8059,-152.374
US,Alaska,PAKF,54.8474,-163.41
US,Alaska,PAJZ,59.7266,-157.259
US,Alaska,PAKK,64.9395,-161.154
US,Alaska,PADY,59.9608,-162.881
US,Alaska,PALG,61.5363,-160.341
US,Alaska,PALB,57.5351,-153.978
US,Alaska,PAKW,55.5792,-133.076
US,Alaska,PAMB,58.9902,-159.05
US,Alaska,PANW,59.4499,-157.328
US,Alaska,PFKO,63.0306,-163.533
US,Alaska,PAPC,65.2537,-166.859
US,Alaska,PAKI,59.933,-164.031
US,Alaska,PAPE,55.906,-159.163
US,Alaska,PASM,62.0605,-163.302
US,Alaska,PAKT,55.3556,-131.714
US,Alaska,PFKT,65.3313,-166.466
US,Alaska,PFKA,60.8744,-162.524
US,Alaska,PAVC,55.1163,-162.266
US,Alaska,PAVL,67.7362,-164.563
US,Alaska,PAGG,59.8765,-163.169
US,Alaska,PAQH,59.7551,-161.845
US,Alaska,PFKW,60.7903,-161.444
US,Alaska,PAKY,57.5671,-154.45
US,Alaska,PFKU,64.8761,-157.727
US,Alaska,PAKL,58.9821,-155.121
US,Alaska,PAMH,63.886,-152.302
US,Alaska,PALN,70.9107,-153.242
US,Alaska,PALU,68.8751,-166.11
US,Alaska,PAMC,62.9529,-155.606
US,Alaska,PAIN,63.7326,-148.911
US,Alaska,PAMD,59.4499,-146.307
US,Alaska,PADM,61.8643,-162.026
US,Alaska,PAML,64.9976,-150.644
US,Alaska,PAMO,62.0954,-163.682
US,Alaska,PAMR,61.2135,-149.844
US,Alaska,PAMM,55.131,-131.578
US,Alaska,PABK,64.8068,-147.762
US,Alaska,PAMX,61.4371,-142.904
US,Alaska,PAMY,60.3714,-166.271
US,Alaska,PFCB,60.0773,-147.992
US,Alaska,PAFS,63.0186,-154.358
US,Alaska,PAOU,56.0075,-161.16
US,Alaska,PAGT,60.471,-164.701
US,Alaska,PANO,59.9802,-154.839
US,Alaska,PAQT,70.21,-151.006
US,Alaska,PANU,64.7293,-158.074
US,Alaska,PAOB,66.9123,-156.897
US,Alaska,PAOM,64.5122,-165.445
US,Alaska,PAOO,60.5414,-165.087
US,Alaska,KORI,57.8853,-152.846
US,Alaska,PAOR,62.9613,-141.929
US,Alaska,PFNO,66.8179,-161.019
US,Alaska,PAOT,66.8847,-162.599
US,Alaska,PAAQ,61.5949,-149.089
US,Alaska,PAOC,58.9065,-157.714
US,Alaska,PAPO,68.3488,-166.799
US,Alaska,PAPN,57.5804,-157.572
US,Alaska,PPIZ,69.7329,-163.005
US,Alaska,PAPK,60.7029,-161.778
US,Alaska,PAAL,56.006,-160.561
US,Alaska,PAPR,66.8141,-150.644
US,Alaska,PAPG,56.8017,-132.945
US,Alaska,PALJ,60.2017,-154.326
US,Alaska,PAAP,56.2468,-134.648
US,Alaska,PAPH,56.9591,-158.633
US,Alaska,PAPM,59.0114,-161.82
US,Alaska,PARY,64.7272,-155.47
US,Alaska,PADG,68.0321,-162.899
US,Alaska,PARS,61.7789,-161.319
US,Alaska,PASC,70.1947,-148.465
US,Alaska,PACM,61.8453,-165.571
US,Alaska,PASD,55.315,-160.523
US,Alaska,PAGY,59.4601,-135.316
US,Alaska,PAGH,66.8881,-157.162
US,Alaska,PASH,66.2496,-166.089
US,Alaska,PAHX,62.6923,-159.569
US,Alaska,PASI,57.0471,-135.362
US,Alaska,PFSH,64.3711,-161.224
US,Alaska,PASW,61.9653,-151.191
US,Alaska,PASL,61.7005,-157.166
US,Alaska,PAMK,63.4901,-162.11
US,Alaska,PASP,61.812,-147.507
US,Alaska,PASN,57.1673,-170.22
US,Alaska,PASO,59.4424,-151.704
US,Alaska,PAPB,56.5783,-169.662
US,Alaska,PASA,63.6864,-170.493
US,Alaska,PASV,61.0974,-155.574
US,Alaska,PAWD,60.1269,-149.419
US,Alaska,PASX,60.4757,-151.034
US,Alaska,PASY,52.7123,174.114
US,Alaska,PATA,65.1744,-152.109
US,Alaska,PATK,62.3205,-150.094
US,Alaska,PFTO,63.3295,-142.954
US,Alaska,PATE,65.2404,-166.339
US,Alaska,PATL,62.8944,-155.977
US,Alaska,PATC,65.5631,-167.922
US,Alaska,PATG,59.0528,-160.397
US,Alaska,PAST,63.3315,-149.127
US,Alaska,PAUM,69.3711,-152.136
US,Alaska,PAUN,63.8884,-160.799
US,Alaska,PAIM,65.9928,-153.704
US,Alaska,PAKU,70.3308,-149.598
US,Alaska,PAVA,61.5409,-165.6
US,Alaska,PAVD,61.1339,-146.248
US,Alaska,PAVE,67.0087,-146.366
US,Alaska,PAIW,65.6226,-168.095
US,Alaska,PAWB,66.3622,-147.407
US,Alaska,PALR,67.5045,-148.483
